1,628,837,87
2,379,691,98
3,964,781,67
4,980,853,94
5,385,567,72
6,551,543,94
7,580,808,72
8,774,892,81
9,225,27,95
10,672,456,68
11,215,704,67
12,796,767,98
13,7,661,78
14,470,948,95
15,424,576,76
16,201,201,77
17,630,922,64
18,291,613,66
19,609,494,65
20,445,531,72
21,519,208,88
22,330,589,68
23,400,256,75
24,205,398,75
25,253,553,81
26,433,463,62
27,10,345,97
28,854,128,95
29,975,659,89
30,172,286,98
31,644,404,90
32,378,51,65
33,471,683,87
34,399,514,75
35,966,64,87
36,663,738,79
37,694,691,84
38,777,859,96
39,226,482,63
40,90,702,97
41,468,773,70
42,433,143,100
43,169,490,89
44,123,106,80
45,339,466,83
46,27,527,86
47,927,928,78
48,346,440,99
49,632,877,73
50,730,88,89
51,872,171,72
52,592,38,96
53,352,992,88
54,12,312,63
55,910,825,75
56,750,38,71
57,585,172,93
58,285,497,76
59,582,140,67
60,51,641,67
61,150,304,99
62,634,320,80
63,968,715,73
64,521,320,64
65,742,70,80
66,434,308,84
67,240,238,92
68,316,437,95
69,638,507,67
70,26,837,90
71,91,321,99
72,194,408,93
73,887,536,77
74,494,401,93
75,107,450,88
76,33,648,77
77,967,903,67
78,648,298,97
79,441,10,81
80,242,805,100
81,440,503,98
82,22,871,80
83,373,822,63
84,300,189,86
85,323,769,87
86,312,25,75
87,59,538,91
88,718,149,69
89,504,505,92
90,616,928,89
91,745,485,73
92,98,454,96
93,828,902,92
94,964,793,81
95,867,403,85
96,755,493,70
97,232,886,78
98,970,590,85
99,830,283,99
100,690,759,96
101,852,712,79
102,714,623,96
103,571,895,72
104,645,211,72
105,482,261,93
106,183,190,88
107,459,65,74
108,615,934,92
109,988,222,100
110,792,347,95
111,95,333,92
112,259,963,83
113,964,990,72
114,617,883,96
115,480,240,85
116,745,287,83
117,517,800,83
118,897,346,90
119,524,414,86
120,48,685,96
121,144,336,97
122,261,31,70
123,712,903,88
124,789,67,95
125,685,369,60
126,252,414,71
127,349,374,84
128,189,893,69
129,754,961,96
130,388,409,63
131,565,709,83
132,623,529,98
133,188,456,98
134,413,938,76
135,924,168,80
136,77,364,68
137,233,92,83
138,832,314,100
139,897,276,99
140,763,280,61
141,655,514,96
142,507,871,75
143,160,958,82
144,745,570,87
145,304,699,62
146,472,615,69
147,173,634,68
148,576,209,63
149,115,723,94
150,816,633,71
151,466,973,96
152,571,411,66
153,954,372,80
154,668,195,92
155,481,750,76
156,762,104,66
157,189,196,80
158,276,857,90
159,245,181,99
160,211,254,99
161,418,241,88
162,355,972,73
163,677,252,79
164,892,435,60
165,920,777,88
166,517,535,77
167,177,609,78
168,817,610,93
169,110,563,88
170,752,601,63
171,610,555,75
172,503,366,65
173,872,286,78
174,109,738,69
175,454,855,79
176,702,90,86
177,380,780,90
178,286,270,63
179,745,553,87
